item_id,name,category,unit_price
1,Quickly,Hardware,36.42
2,Dog,Clothing,9.60
3,Throw,Clothing,32.17
4,Reality,Food,10.62
5,Party,Clothing,42.32
6,Risk,Food,13.65
7,Left,Clothing,49.33
8,Occur,Medical,17.51
9,Various,Clothing,20.99
10,Consider,Electronics,32.41
11,Fast,Hardware,25.80
12,Reason,Food,14.88
13,Serious,Electronics,15.31
14,Civil,Clothing,7.98
15,Republican,Clothing,14.57
16,Long,Medical,11.43
17,How,Food,16.82
18,Of,Medical,21.29
19,Manage,Medical,9.09
20,Box,Hardware,40.64
21,Hard,Medical,31.81
22,Well,Food,43.74
23,Food,Food,38.79
24,However,Clothing,24.56
25,Choose,Clothing,48.73
26,Congress,Electronics,44.17
27,No,Food,13.95
28,Officer,Food,46.33
29,Know,Electronics,46.81
30,Source,Clothing,15.78
31,During,Electronics,8.85
32,One,Food,39.46
33,List,Food,12.43
34,Usually,Hardware,46.80
35,Bit,Clothing,22.95
36,Always,Food,25.32
37,Style,Electronics,31.47
38,Agreement,Electronics,36.85
39,Own,Electronics,43.68
40,Traditional,Medical,14.64
41,Ready,Food,30.93
42,There,Medical,13.57
43,Decision,Medical,23.50
44,Hand,Electronics,7.73
45,Paper,Electronics,16.19
46,Face,Medical,13.26
47,Now,Electronics,24.94
48,Agent,Electronics,34.35
49,Court,Electronics,46.69
50,Sell,Medical,26.66
